OPENDATE,Payment_Method,TRANSACT,Product_Name,Product_ID,Cashier_Name,POS,UNIT_PRICE,QUAN,Total_Excluding_Tax,Tax_Amount,Total_Including_Tax,Branch,SNUM,UNIQUEID
10/27/2025 0:00,BANK TRANSFER,159473,Miso Wagyu,2256,Alina,1,298,1,259.13,38.87,298,Takara,1,1141238
10/27/2025 0:00,CASH,159471,Crispy Salad,2013,Alina,1,98,1,85.22,12.78,98,Takara,1,1141219
10/27/2025 0:00,BANK TRANSFER,159473,Command,2137,Alina,1,0,1,0,0,0,Takara,1,1141239
10/27/2025 0:00,Hunger Takara(Credi),159468,Nora Maki 4PCS(T),2722,Web Online Order,6,53,1,46.09,6.91,53,Takara,1,1141202
10/27/2025 0:00,CASH,159471,Water (750ml),2105,Alina,1,30,1,26.09,3.91,30,Takara,1,1141216
10/28/2025 0:00,Visa,159477,Wave maki 8Pcs(T),2222,Tayyab,1,88,1,76.52,11.48,88,Takara,1,1141255
10/27/2025 0:00,Visa,159474,Chicken Teriyaki,2034,Alina,1,138,1,120,18,138,Takara,1,1141247
10/27/2025 0:00,MADA,159470,Nora Maki 8Pcs(T),2246,Alina,1,98,1,85.22,12.78,98,Takara,1,1141212
10/27/2025 0:00,MADA,159472,Cola Zero,2702,Alina,1,16,2,27.83,4.17,32,Takara,1,1141229
10/27/2025 0:00,BANK TRANSFER,159473,Takara TakeAway Bags,2583,Alina,1,0,1,0,0,0,Takara,1,1141242
10/27/2025 0:00,BANK TRANSFER,159473,Steam Rice ,2050,Alina,1,33,1,28.7,4.3,33,Takara,1,1141241
10/27/2025 0:00,MADA,159470,Wagyu Maki,2179,Alina,1,118,1,102.61,15.39,118,Takara,1,1141211
10/27/2025 0:00,Hunger Takara(Credi),159467,Seafood Gyoza,2024,Web Online Order,6,55,1,52.17,7.83,60,Takara,1,1141198
10/27/2025 0:00,CASH,159471,Nora Maki 8Pcs(T),2246,Alina,1,98,1,85.22,12.78,98,Takara,1,1141223
10/27/2025 0:00,CASH,159471,Beef Tacos,2251,Alina,1,85,1,73.91,11.09,85,Takara,1,1141221
10/27/2025 0:00,MADA,159472,kunafa shrimp ,2027,Alina,1,98,1,85.22,12.78,98,Takara,1,1141226
10/28/2025 0:00,Visa,159477,Dream Maki 8Pcs(T),2268,Tayyab,1,93,1,80.87,12.13,93,Takara,1,1141254
10/27/2025 0:00,MADA,159466,Command,2144,Dejan,1,0,1,0,0,0,Takara,1,1141195
10/27/2025 0:00,MADA,159443,Spicy Edamame,2019,Dejan,1,45,1,39.13,5.87,45,Takara,1,1141056
10/27/2025 0:00,Visa,159436,Haifa Maki 4PCS(T),2638,Dejan,1,0,1,0,0,0,Takara,1,1141005
10/27/2025 0:00,MADA,159470,Sparkling Water Large,2165,Alina,1,38,1,33.04,4.96,38,Takara,1,1141209
10/27/2025 0:00,BANK TRANSFER,159473,Crazy Maki 8Pcs(T),2089,Alina,1,89,1,77.39,11.61,89,Takara,1,1141236
10/28/2025 0:00,Visa,159477,Takara Miso Soup,2009,Tayyab,1,38,8,264.35,39.65,304,Takara,1,1141253
10/27/2025 0:00,Visa,159469,Coca Cola,2097,Dejan,1,16,2,27.83,4.17,32,Takara,1,1141208
10/27/2025 0:00,MADA,159472,Reema Maki 8Pcs(T),2112,Alina,1,98,1,85.22,12.78,98,Takara,1,1141227
10/27/2025 0:00,Visa,159474,Creamy Lobster,2177,Alina,1,268,1,233.04,34.96,268,Takara,1,1141246
10/27/2025 0:00,Hunger Takara(Credi),159468,Crispy Salad,2013,Web Online Order,6,98,1,92.17,13.83,106,Takara,1,1141199
10/27/2025 0:00,MADA,159470,Philly Sake Maki 8Pcs(T),2223,Alina,1,95,1,82.61,12.39,95,Takara,1,1141213
10/27/2025 0:00,Visa,159474,Tempura Rock Shrimp,2176,Alina,1,95,1,82.61,12.39,95,Takara,1,1141245
10/27/2025 0:00,MADA,159465,Cola Zero,2702,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141196
10/27/2025 0:00,Visa,159469,Tempura Rock Shrimp,2176,Dejan,1,95,1,82.61,12.39,95,Takara,1,1141205
10/27/2025 0:00,MADA,159466,Coca Cola,2097,Dejan,1,16,2,27.83,4.17,32,Takara,1,1141193
10/27/2025 0:00,Hunger Takara(Credi),159468,Coca Cola,2097,Web Online Order,6,16,1,15.65,2.35,18,Takara,1,1141203
10/27/2025 0:00,MADA,159466,Spicy Za'atar Edamame,2020,Dejan,1,45,1,39.13,5.87,45,Takara,1,1141191
10/27/2025 0:00,MADA,159470,Cola Zero,2702,Alina,1,16,1,13.91,2.09,16,Takara,1,1141215
10/27/2025 0:00,MADA,159460,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141154
10/27/2025 0:00,MADA,159437,Coca Cola,2097,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141014
10/27/2025 0:00,MADA,159466,Dream Maki 8Pcs(T),2268,Dejan,1,93,1,80.87,12.13,93,Takara,1,1141192
10/27/2025 0:00,Hunger Takara(Credi),159468,Tempura Rock Shrimp,2176,Web Online Order,6,95,1,89.57,13.43,103,Takara,1,1141200
10/27/2025 0:00,CASH,159471,Salmon Sushi,2053,Alina,1,53,1,46.09,6.91,53,Takara,1,1141224
10/27/2025 0:00,BANK TRANSFER,159473,Tuna Sushi,2054,Alina,1,64,1,55.65,8.35,64,Takara,1,1141235
10/27/2025 0:00,MADA,159470,Seafood Fried Rice ,2049,Alina,1,93,1,80.87,12.13,93,Takara,1,1141214
10/27/2025 0:00,MADA,159466,Command,2144,Dejan,1,0,1,0,0,0,Takara,1,1141194
10/28/2025 0:00,Visa,159477,Philly Sake Maki 8Pcs(T),2223,Tayyab,1,95,1,82.61,12.39,95,Takara,1,1141256
10/27/2025 0:00,Visa,159469,Nora Maki 8Pcs(T),2246,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141207
10/27/2025 0:00,BANK TRANSFER,159473,Salmon Sushi,2053,Alina,1,53,3,138.26,20.74,159,Takara,1,1141234
10/27/2025 0:00,Visa,159474,Tempura Tacos,2154,Alina,1,62,1,53.91,8.09,62,Takara,1,1141244
10/27/2025 0:00,Hunger Takara(Credi),159468,Nora Maki(T),2723,Web Online Order,6,0,1,0,0,0,Takara,1,1141201
10/27/2025 0:00,Visa,159469,Reema Maki 8Pcs(T),2112,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141206
10/27/2025 0:00,Hunger Takara(Credi),159467,Tempura Tacos,2154,Web Online Order,6,62,1,58.26,8.74,67,Takara,1,1141197
10/27/2025 0:00,BANK TRANSFER,159473,Grilled Lobster,2282,Alina,1,266,1,231.3,34.7,266,Takara,1,1141240
10/27/2025 0:00,CASH,159464,Default Message,2002,Dejan,1,0,1,-547.83,-82.17,-630,Takara,1,1141218
10/27/2025 0:00,Visa,159474,SAKURA OASIS,2762,Alina,1,40,2,69.57,10.43,80,Takara,1,1141231
10/27/2025 0:00,Visa,159469,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141204
10/27/2025 0:00,MADA,159470,kunafa shrimp ,2027,Alina,1,98,1,85.22,12.78,98,Takara,1,1141210
10/27/2025 0:00,MADA,159472,Sea food yaki udon,2044,Alina,1,99,1,86.09,12.91,99,Takara,1,1141228
10/27/2025 0:00,MADA,159435,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140996
10/27/2025 0:00,MADA,159435,Cola Zero,2702,Dejan,1,16,1,13.91,2.09,16,Takara,1,1140998
10/27/2025 0:00,MADA,159435,Nora Maki 8Pcs(T),2246,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140997
10/27/2025 0:00,MADA,159439,Takara Miso Soup,2009,Dejan,1,38,1,33.04,4.96,38,Takara,1,1141022
10/27/2025 0:00,MADA,159433,Tempura Rock Shrimp,2176,Dejan,1,95,1,82.61,12.39,95,Takara,1,1140988
10/27/2025 0:00,MADA,159433,Coca Cola,2097,Dejan,1,16,1,13.91,2.09,16,Takara,1,1140983
10/27/2025 0:00,MADA,159433,kunafa shrimp ,2027,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140989
10/27/2025 0:00,Visa,159430,Command,2144,Dejan,1,0,1,0,0,0,Takara,1,1140955
10/27/2025 0:00,MADA,159448,Chicken Teriyaki,2034,Dejan,1,138,1,120,18,138,Takara,1,1141085
10/27/2025 0:00,MADA,159433,Nora Maki 8Pcs(T),2246,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140992
10/27/2025 0:00,MADA,159431,Miso Wagyu,2256,Dejan,1,298,1,259.13,38.87,298,Takara,1,1140966
10/27/2025 0:00,MADA,159431,Dream Maki 4PCS,2639,Dejan,1,0,1,0,0,0,Takara,1,1140963
10/27/2025 0:00,MADA,159448,Garlic Fried Rice,2122,Dejan,1,55,1,47.83,7.17,55,Takara,1,1141086
10/27/2025 0:00,Visa,159430,Spicy Zatar Sauce,2789,Dejan,1,6,1,5.22,0.78,6,Takara,1,1140954
10/27/2025 0:00,MADA,159431,REMA MAKI 4PCS,2640,Dejan,1,0,1,0,0,0,Takara,1,1140962
10/27/2025 0:00,MADA,159431,Vegetable Noodles(L),2637,Dejan,1,0,1,0,0,0,Takara,1,1140964
10/27/2025 0:00,MADA,159450,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141090
10/27/2025 0:00,Hunger Takara(Credi),159434,Spicy Saki Maki,2084,Web Online Order,6,85,1,80,12,92,Takara,1,1140994
10/27/2025 0:00,MADA,159431,Rock Shrimp(L),2629,Dejan,1,0,1,0,0,0,Takara,1,1140960
10/27/2025 0:00,MasterCard,159449,Water (750ml),2105,Dejan,1,30,1,26.09,3.91,30,Takara,1,1141087
10/27/2025 0:00,Visa,159430,Takara TakeAway Bags,2583,Dejan,1,0,1,0,0,0,Takara,1,1140956
10/27/2025 0:00,MADA,159450,Command,2130,Dejan,1,0,1,0,0,0,Takara,1,1141089
10/27/2025 0:00,MasterCard,159449,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141107
10/27/2025 0:00,MasterCard,159449,Reema Maki 8Pcs(T),2112,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141105
10/27/2025 0:00,MasterCard,159447,Beef Gyoza,2339,Dejan,1,65,1,56.52,8.48,65,Takara,1,1141096
10/27/2025 0:00,MADA,159450,Cola Zero,2702,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141093
10/27/2025 0:00,MasterCard,159447,Black angus Teppan,2111,Dejan,1,268,1,233.04,34.96,268,Takara,1,1141099
10/27/2025 0:00,MasterCard,159449,Miso Wagyu,2256,Dejan,1,298,1,259.13,38.87,298,Takara,1,1141106
10/27/2025 0:00,MasterCard,159447,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141094
10/27/2025 0:00,MasterCard,159447,Miso Glazed Salmon,2795,Dejan,1,180,1,156.52,23.48,180,Takara,1,1141098
10/27/2025 0:00,MasterCard,159447,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141100
10/27/2025 0:00,Visa,159451,Beef Tacos,2251,Dejan,1,85,1,73.91,11.09,85,Takara,1,1141101
10/27/2025 0:00,MADA,159443,Command,2132,Dejan,1,0,1,0,0,0,Takara,1,1141054
10/27/2025 0:00,MADA,159459,Beef Gyoza,2339,Dejan,1,65,1,56.52,8.48,65,Takara,1,1141144
10/27/2025 0:00,MADA,159460,Nora Maki 8Pcs(T),2246,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141150
10/27/2025 0:00,MasterCard,159447,Coca Cola,2097,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141076
10/27/2025 0:00,MADA,159446,Takara TakeAway Bags,2583,Dejan,1,0,1,0,0,0,Takara,1,1141073
10/27/2025 0:00,Jahez Takara,159444,Reema Maki(T),2721,Web Online Order,6,0,1,0,0,0,Takara,1,1141066
10/27/2025 0:00,MADA,159443,Truffle Breeze Maki,2797,Dejan,1,94,1,81.74,12.26,94,Takara,1,1141059
10/27/2025 0:00,Visa,159436,LUNCH 2 PAX,2625,Dejan,1,220,1,191.3,28.7,220,Takara,1,1140999
10/27/2025 0:00,MADA,159432,SPRING ROLLS 2PCS,2596,Dejan,1,15,2,0,0,0,Takara,1,1140972
10/27/2025 0:00,MADA,159433,Japanese Mushroom Rice ,2359,Dejan,1,188,1,163.48,24.52,188,Takara,1,1140993
10/27/2025 0:00,Hunger Takara(Credi),159434,Chicken Teriyaki,2034,Web Online Order,6,138,1,130.43,19.57,150,Takara,1,1140995
10/27/2025 0:00,MADA,159431,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1140967
10/27/2025 0:00,MADA,159432,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1140980
10/27/2025 0:00,Visa,159430,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140952
10/27/2025 0:00,MADA,159431,CRISPY SALAD(L),2626,Dejan,1,0,1,0,0,0,Takara,1,1140959
10/27/2025 0:00,MasterCard,159447,TAKARA Red Roll,2796,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141097
10/27/2025 0:00,MasterCard,159447,Cola Zero,2702,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141077
10/27/2025 0:00,MADA,159448,Cola Zero,2702,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141080
10/27/2025 0:00,MADA,159443,kunafa shrimp ,2027,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141057
10/27/2025 0:00,MasterCard,159445,Command,2140,Dejan,1,0,1,0,0,0,Takara,1,1141069
10/27/2025 0:00,MADA,159460,Dream Maki 8Pcs(T),2268,Dejan,1,93,1,80.87,12.13,93,Takara,1,1141151
10/27/2025 0:00,MADA,159460,Command,2144,Dejan,1,0,1,0,0,0,Takara,1,1141159
10/27/2025 0:00,MADA,159448,Water (750ml),2105,Dejan,1,30,1,26.09,3.91,30,Takara,1,1141079
10/27/2025 0:00,MADA,159443,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141060
10/27/2025 0:00,MADA,159460,Command,2144,Dejan,1,0,1,0,0,0,Takara,1,1141160
10/27/2025 0:00,Visa,159436,Takara Miso Soup,2009,Dejan,1,38,1,0,0,0,Takara,1,1141000
10/27/2025 0:00,Hunger Takara(Credi),159456,Reema Maki 4PCS(T),2720,Web Online Order,6,53,1,46.09,6.91,53,Takara,1,1141134
10/27/2025 0:00,MADA,159433,Command,2146,Dejan,1,0,1,0,0,0,Takara,1,1140982
10/27/2025 0:00,MADA,159433,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1140986
10/27/2025 0:00,MADA,159431,LUNCH 2 PAX,2625,Dejan,1,220,1,191.3,28.7,220,Takara,1,1140957
10/27/2025 0:00,Visa,159451,Mix Blueberry Mojito,2672,Dejan,1,40,2,69.57,10.43,80,Takara,1,1141103
10/27/2025 0:00,Jahez Takara,159444,Dream Maki(T),2728,Web Online Order,6,0,1,0,0,0,Takara,1,1141064
10/27/2025 0:00,Jahez Takara,159444,Reema Maki 4PCS(T),2720,Web Online Order,6,53,1,46.09,6.91,53,Takara,1,1141067
10/27/2025 0:00,MADA,159455,Dream Maki 8Pcs(T),2268,Dejan,1,93,1,80.87,12.13,93,Takara,1,1141130
10/27/2025 0:00,Visa,159436,KHOBAR MAKI 4PCS(T),2642,Dejan,1,0,1,0,0,0,Takara,1,1141004
10/27/2025 0:00,MasterCard,159445,Takara TakeAway Bags,2583,Dejan,1,0,1,0,0,0,Takara,1,1141078
10/27/2025 0:00,Visa,159436,Vegetable Noodles(L),2637,Dejan,1,0,1,0,0,0,Takara,1,1141006
10/27/2025 0:00,MADA,159454,Passion Fruit Mojito,2399,Dejan,1,40,2,69.57,10.43,80,Takara,1,1141125
10/27/2025 0:00,Visa,159452,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141109
10/27/2025 0:00,Visa,159452,Ika - Calamari Tampura,2354,Dejan,1,85,1,73.91,11.09,85,Takara,1,1141110
10/27/2025 0:00,Visa,159451,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141128
10/27/2025 0:00,MADA,159433,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1140987
10/27/2025 0:00,MADA,159432,Dream Maki 4PCS,2639,Dejan,1,0,1,0,0,0,Takara,1,1140974
10/27/2025 0:00,MADA,159432,Vegetable Noodles(L),2637,Dejan,1,0,1,0,0,0,Takara,1,1140975
10/27/2025 0:00,MADA,159432,CRISPY SALAD(L),2626,Dejan,1,0,1,0,0,0,Takara,1,1140971
10/27/2025 0:00,MADA,159432,Chicken Teriyaki(L),2633,Dejan,1,0,1,0,0,0,Takara,1,1140976
10/27/2025 0:00,MADA,159448,Command,2137,Dejan,1,0,1,0,0,0,Takara,1,1141084
10/27/2025 0:00,MADA,159448,Wave maki 8Pcs(T),2222,Dejan,1,88,1,76.52,11.48,88,Takara,1,1141083
10/27/2025 0:00,Visa,159451,Tempura Maki 8Pcs(T),2114,Dejan,1,83,1,72.17,10.83,83,Takara,1,1141102
10/27/2025 0:00,MasterCard,159447,kunafa shrimp ,2027,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141095
10/27/2025 0:00,MasterCard,159449,Extra Mash Potato,2261,Dejan,1,17,1,14.78,2.22,17,Takara,1,1141108
10/27/2025 0:00,MADA,159446,Command,2133,Dejan,1,0,1,0,0,0,Takara,1,1141074
10/27/2025 0:00,MADA,159460,Yaki Udon W Chicken,2124,Dejan,1,91,1,79.13,11.87,91,Takara,1,1141152
10/27/2025 0:00,MADA,159458,Coca Cola,2097,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141141
10/27/2025 0:00,Amex,159441,Water (750ml),2105,Dejan,1,30,1,26.09,3.91,30,Takara,1,1141075
10/27/2025 0:00,MADA,159446,Beef Tacos,2251,Dejan,1,85,2,147.83,22.17,170,Takara,1,1141072
10/27/2025 0:00,MADA,159459,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1141142
10/27/2025 0:00,Jahez Takara,159444,kunafa shrimp ,2027,Web Online Order,6,98,1,92.17,13.83,106,Takara,1,1141063
10/27/2025 0:00,MADA,159460,Coca Cola,2097,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141155
10/27/2025 0:00,Jahez Takara,159444,Dream Maki 4PCS,2639,Web Online Order,6,0,1,44.35,6.65,51,Takara,1,1141065
10/27/2025 0:00,MADA,159460,Fried Ice Cream,2091,Dejan,1,85,1,73.91,11.09,85,Takara,1,1141157
10/27/2025 0:00,MasterCard,159445,Command,2129,Dejan,1,0,1,0,0,0,Takara,1,1141071
10/27/2025 0:00,MADA,159432,Takara Miso Soup,2009,Dejan,1,38,1,0,0,0,Takara,1,1140970
10/27/2025 0:00,MADA,159432,kunafa shrimp ,2027,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140977
10/27/2025 0:00,MADA,159433,Crispy Salad,2013,Dejan,1,98,1,85.22,12.78,98,Takara,1,1140984
10/27/2025 0:00,MADA,159448,Beef Gyoza,2339,Dejan,1,65,2,113.04,16.96,130,Takara,1,1141081
10/27/2025 0:00,MADA,159431,Chicken Teriyaki(L),2633,Dejan,1,0,1,0,0,0,Takara,1,1140965
10/27/2025 0:00,MADA,159459,Sprite,2100,Dejan,1,16,1,13.91,2.09,16,Takara,1,1141148
10/27/2025 0:00,MADA,159460,ICE TEA,2614,Dejan,1,38,1,33.04,4.96,38,Takara,1,1141156
10/27/2025 0:00,MADA,159443,Coca Cola,2097,Dejan,1,16,2,27.83,4.17,32,Takara,1,1141061
10/27/2025 0:00,MasterCard,159445,Tempura Maki 8Pcs(T),2114,Dejan,1,83,1,72.17,10.83,83,Takara,1,1141068
10/27/2025 0:00,MADA,159454,Signature Salad,2014,Dejan,1,84,1,73.04,10.96,84,Takara,1,1141120
