Item ID,# Units,Store Code
5065,1,9120
5066,4,2147
5066,2,2181
5066,2,2234
5066,2,2297
5066,1,2302
5066,2,2309
5066,2,9112
5066,1,9120
5067,2,2049
5067,2,2138
5067,1,2147
5067,2,2238
5067,2,2286
5067,1,2304
5067,2,2312
5067,2,2331
5068,2,2049
5068,1,2303
5068,2,2319
5068,2,2324
5068,1,2334
5068,1,2342
5069,1,2138
5069,2,2177
5070,2,2138
5070,1,2147
5070,2,2294
5070,1,2303
5070,1,2334
5071,1,2147
5071,1,2311
5072,2,2302
5072,2,2318
5072,1,9168
5073,1,9168
5074,2,2061
5074,1,2234
5075,2,2139
5076,2,2038
5076,2,2311
5077,1,2147
5077,2,2192
5077,1,2234
5078,1,2147
5078,1,2311
5080,2,2308
5081,2,2181
2300,2,2147
2301,1,2049
2302,2,2052
2302,1,2053
2302,1,2123
2302,3,2147
2302,4,2303
2302,1,2324
2302,1,9101
2302,1,9106
2303,4,2033
2303,1,2053
2303,3,2147
2303,1,2297
2303,1,2324
2303,1,9101
2304,1,2297
2304,2,9106
2304,1,9108
2305,1,2123
2306,1,2049
2306,2,2311
2306,1,9108
2308,2,9108
2253,2,2138
2253,2,9119
2253,2,9157
2254,1,2033
2254,1,2053
2254,2,2069
2254,1,2123
2254,1,2234
2254,1,2247
2254,2,2287
2254,2,2297
2254,1,2328
2254,1,9106
2254,1,9148
2254,2,9157
2255,2,2027
2255,1,2043
2255,2,2052
2255,1,2095
2255,1,2123
2255,1,2147
2255,2,2177
2255,1,2199
2255,1,2238
2255,3,2302
2255,1,2308
2255,1,2328
2255,4,2344
2255,1,9121
2255,2,9157
2256,2,2030
2256,1,2033
2256,1,2052
2256,1,2095
2256,1,2100
2256,3,2147
2256,1,2199
2256,1,2247
2256,2,2302
2256,1,2336
2256,2,2340
2256,1,9124
2256,1,9148
2257,2,2049
2257,1,2052
2257,2,2061
2257,1,2095
2257,1,2100
2257,2,2123
2257,1,2138
2257,1,2234
2257,1,2238
2257,1,2242
2257,2,2247
2257,2,2289
2257,1,2302
2257,4,2304
2257,4,2308
2257,2,2309
2257,2,2323
2257,2,2328
2257,2,2334
2257,1,2336
2257,1,9124
2257,1,9126
2258,2,2030
2258,1,2033
2258,1,2053
2258,2,2069
2258,2,2095
2258,1,2100
2258,4,2123
2258,1,2138
2258,2,2142
2258,1,2242
2258,2,2297
2258,1,2298
2258,1,2302
2258,2,2304
2258,2,2306
2258,2,2308
2258,2,2328
2258,2,2332
2258,2,2334
2258,2,2336
2258,2,9106
2258,1,9120
2258,2,9121
2258,2,9163
2259,2,2027
2259,1,2033
2259,1,2038
2259,1,2069
2259,1,2100
2259,2,2138
2259,2,2147
2259,2,2181
2259,1,2192
2259,1,2234
2259,1,2298
2259,1,2302
2259,2,2308
2259,1,2323
2259,1,2331
2259,2,9114
2259,1,9136
2260,2,2030
2260,2,2033
2260,1,2049
2260,2,2052
2260,1,2192
2260,1,2199
2260,2,2242
2260,2,2297
2260,1,2298
2260,1,2302
2260,2,2304
2260,1,2323
2260,1,2331
2260,1,9112
2260,1,9120
2260,1,9132
2261,2,2034
2261,1,2038
2261,1,2061
2261,1,2095
2261,2,2100
2261,2,2289
2261,2,2297
2261,1,2298
2261,1,2302
2261,2,2308
2261,2,2309
2261,2,2330
2261,1,9111
2261,2,9131
2261,1,9154
2262,2,2033
2262,4,2049
2262,2,2061
2262,1,2123
2262,1,2177
2262,2,2234
2262,2,2286
2262,2,2313
2262,2,2331
2262,2,2339
2262,1,9112
2262,1,9115
2262,1,9126
2262,1,9132
2262,1,9140
2263,3,2049
2263,1,2052
2263,2,2067
2263,2,2069
2263,2,2123
2263,4,2142
2263,1,2234
2263,2,2294
2263,2,2298
2263,1,2308
2263,3,9111
2263,2,9120
2263,1,9136
2264,1,2052
2264,3,2123
2264,2,2181
2264,2,2198
2264,1,2199
2264,2,2286
2264,2,2297
2264,2,2303
2264,5,2308
2264,2,2330
2264,1,9115
2264,1,9140
2265,1,2027
2265,1,2069
2265,2,2234
2265,1,2248
2265,4,2308
2265,1,2320
2265,1,2323
2265,1,9120
2265,1,9142
2266,1,2027
2266,2,2052
2266,3,2199
2266,2,2234
2266,1,2248
2266,2,2302
2266,1,2308
2266,1,2320
2266,1,2323
2266,1,9120
2267,1,2027
2267,2,2049
2267,2,2100
2267,1,2147
2267,2,2242
2267,4,2302
2267,1,2303
2267,2,2304
2267,2,2336
2267,2,9130
2267,1,9142
2267,2,9155
2268,3,2027
2268,1,2147
2268,2,2247
2269,1,2165
2269,2,2192
2269,1,2303
2269,2,2308
2269,1,2311
2270,2,2030
2270,1,2165
2270,1,2311
2271,6,2123
2271,2,2302
2272,1,2289
2273,1,2030
2275,1,2030
2275,1,2289
2277,2,2308
2277,2,9148
2120,1,2342
2121,2,2323
2121,1,2342
2122,2,2308
2125,2,2323
2130,2,2298
2073,2,2286
2074,1,2033
2074,1,2308
2074,1,9148
2075,2,2027
2075,1,2238
2075,1,2308
2075,1,9148
2076,1,2324
2078,2,2069
2078,1,2095
2078,2,2123
2078,2,2181
2079,2,2043
2079,1,2238
2080,1,2033
2080,2,2100
2080,1,2304
2081,1,2095
2082,1,2304
2082,1,2324
2083,1,2030
2083,1,2049
2083,1,2334
2084,1,2304
2085,1,2049
2085,2,2100
2085,1,2334
2086,1,2030
2087,2,2123
2087,2,2304
2088,2,2027
2088,2,2123
2089,1,2027
2089,2,2340
2091,1,2027
2091,2,9108
2180,2,2147
2181,2,2248
2182,2,2248
2133,1,2192
2135,2,2181
2135,1,2192
2136,1,2049
2137,1,2049
2137,1,2308
2137,2,9146
2138,2,9155
2139,1,2181
2141,1,2181
2141,1,2304
2141,1,2308
2143,1,2147
2145,1,2147
2147,2,2095
2153,2,2147
2153,1,2306
2155,1,2306
2360,1,2033
2361,2,2033
2361,2,2049
2361,2,2053
2361,2,2069
2362,1,2306
2363,2,2147
2363,1,2306
2364,1,2095
2364,1,2139
2365,1,2095
2365,2,2334
2366,1,2297
2366,2,9148
2367,1,2297
2369,2,2222
2313,2,2138
2313,2,2142
2313,2,2147
2313,1,2199
2313,2,2298
2313,2,2317
2313,2,9148
2314,1,2053
2314,2,2069
2314,4,2147
2314,2,2198
2314,1,2340
2314,2,9163
2315,2,2027
2315,2,2033
2315,2,2067
2315,2,2069
2315,2,2082
2315,2,2100
2315,2,2123
2315,3,2147
2315,2,2181
2315,1,2198
2315,1,2199
2315,1,2237
2315,2,2238
2315,2,2242
2315,1,2247
2315,2,2287
2315,1,2297
2315,4,2298
2315,2,2302
2315,1,2304
2315,1,2308
2315,1,2317
2315,2,2331
2315,1,2342
2315,1,9124
2315,1,9146
2316,1,2033
2316,1,2043
2316,2,2072
2316,1,2095
2316,2,2100
2316,2,2123
2316,1,2147
2316,2,2192
2316,1,2198
2316,1,2247
2316,1,2297
2316,1,2303
2316,2,2304
2316,1,2308
2316,2,2320
2316,2,2323
2316,1,2334
2316,2,2342
2316,1,9120
2316,2,9130
2316,2,9143
2316,1,9146
2317,2,2027
2317,1,2082
2317,2,2100
2317,5,2123
2317,2,2138
2317,6,2147
2317,3,2181
2317,2,2198
2317,4,2298
2317,2,2302
2317,1,2304
2317,2,2308
2317,2,2309
2317,2,2311
2317,2,2334
2317,1,9146
2318,2,2043
2318,1,2053
2318,1,2061
2318,1,2069
2318,3,2082
2318,1,2123
2318,2,2177
2318,3,2181
2318,2,2222
2318,1,2237
2318,1,2287
2318,3,2302
2318,1,2304
2318,1,2308
2318,1,2317
2318,1,2334
2318,3,2336
2318,2,2339
2318,1,2342
2318,2,9108
2318,2,9113
2318,1,9120
2318,2,9124
2318,2,9155
2319,1,2027
2319,1,2061
2319,2,2067
2319,1,2069
2319,2,2100
2319,2,2147
2319,2,2177
2319,3,2181
2319,1,2198
2319,1,2297
2319,1,2302
2319,2,2303
2319,1,2304
2319,1,2308
2319,2,2313
2319,1,2324
2319,2,2330
2319,2,2336
2319,1,2340
2319,2,9114
2319,2,9120
2319,1,9130
2319,1,9131
2319,2,9142
2319,1,9146
2319,1,9155
2320,1,2033
2320,2,2049
2320,2,2067
2320,3,2095
2320,4,2100
2320,1,2192
2320,2,2242
2320,1,2247
2320,2,2298
2320,2,2302
2320,1,2303
2320,2,2304
2320,1,2316
2320,1,2324
2320,2,2330
2320,1,9112
2320,2,9130
2320,1,9131
2320,1,9143
2320,1,9155
2320,2,9172
2321,1,2030
2321,1,2033
2321,2,2038
2321,1,2049
2321,1,2100
2321,4,2147
2321,2,2181
2321,1,2192
2321,1,2198
2321,1,2247
2321,1,2248
2321,1,2297
2321,3,2298
2321,1,2304
2321,4,2308
2321,2,2316
2321,2,2319
2321,2,9126
2321,1,9143
2322,2,2061
2322,2,2069
2322,1,2248
2322,1,2298
2322,1,2308
2322,2,2312
2322,1,2316
2322,1,9155
2323,1,2027
2323,1,2030
2323,3,2067
2323,1,2100
2323,2,2238
2323,1,2287
2323,2,2304
2323,1,2306
2323,2,2308
2323,1,2317
2323,1,2318
2323,2,2331
2323,2,2340
2323,1,9130
2323,2,9132
2323,1,9136
2323,1,9155
2324,2,2027
2324,1,2049
2324,2,2052
2324,1,2067
2324,2,2138
2324,1,2147
2324,1,2181
2324,1,2306
2324,3,2308
2324,5,2339
2324,1,9112
2324,1,9136
2324,2,9154
2324,2,9155
2325,1,2027
2325,2,2038
2325,2,2052
2325,2,2061
2325,1,2069
2325,1,2123
2325,2,2139
2325,1,2147
2325,2,2199
2325,2,2298
2325,2,2316
2325,1,2317
2325,1,2318
2325,1,2336
2325,2,9102
2325,2,9155
2326,2,2030
2326,2,2033
2326,1,2053
2326,1,2069
2326,1,2123
2326,2,2142
2326,2,2304
2326,2,2308
2326,2,2309
2326,2,2317
2326,2,2318
2326,1,2336
2326,1,9122
2327,2,2033
2327,1,2043
2327,1,2053
2327,2,2095
2327,2,2100
2327,3,2123
2327,2,2147
2327,2,2289
2327,2,2302
2327,1,2304
2327,2,2308
2327,2,2309
2327,2,2318
2327,1,2336
2327,1,2339
2327,1,9122
2328,1,2302
2328,1,2331
2329,1,2027
2329,1,2043
2329,1,2123
2329,1,2302
2331,1,2027
2331,2,2123
2331,1,2147
2331,2,9111
2331,2,9146
2332,2,2123
2333,1,2030
2333,1,2147
2333,1,2331
2335,1,2030
2335,2,2034
2335,1,2306
2335,2,2328
2336,1,2306
2337,1,2061
2338,1,2061
2338,1,2289
2338,1,2308
2340,1,2289
2340,1,2308
5097,2,2123
5097,1,2181
5098,1,2181
5099,1,2061
5099,2,2123
5099,2,2328
5100,1,2030
5100,1,2061
5100,2,2072
5100,1,2147
5100,1,2324
5101,1,2030
5101,1,2147
5101,2,2181
5101,2,2238
5101,1,2324
5101,1,2334
5101,2,9102
5102,2,2027
5102,2,2100
5102,4,2181
5102,2,2222
5102,1,2237
5102,2,9102
5102,2,9115
5102,2,9120
5120,2,2049
5120,1,2052
5120,2,2123
5120,2,2142
5120,2,2181
5120,1,2237
5120,2,2286
5120,2,2298
5120,1,2303
5120,2,2334
5121,1,2052
5121,2,2142
5121,2,2238
5121,2,2298
5121,1,2303
5121,1,2328
5121,2,2332
5121,1,9147
5122,2,2053
5122,2,2222
5122,1,2298
5122,2,2303
5122,1,2304
5122,2,2308
5122,1,2334
5122,1,2336
5122,1,9147
5123,2,2069
5123,1,2298
5123,1,2334
5123,1,2336
5123,2,9105
5123,2,9141
5124,2,2289
5124,1,2304
5124,2,2328
5124,1,2334
5124,1,9102
5124,2,9135
5125,2,2053
5125,1,2287
5125,2,2318
5125,1,2323
5126,2,2082
5126,1,2147
5126,1,2181
5126,1,2287
5126,2,2318
5126,2,9141
5127,1,2147
5127,1,2323
5127,1,9102
5128,2,2147
5128,2,2289
5128,2,9155
5130,1,2181
5137,1,2147
5139,1,2147
1942,2,2317
1943,1,2147
1944,1,2147
1944,2,2328
1893,2,2095
1893,1,2298
1894,2,2027
1894,2,2033
1894,1,2298
1896,2,2304
1897,2,2053
1897,2,2147
1898,2,2067
1898,4,2142
1898,1,2334
1898,1,9111
1899,2,2147
1899,4,2302
1899,2,2304
1900,1,2147
1900,1,9111
1900,1,9124
1901,2,2147
1901,2,2298
1901,2,2302
1901,1,2334
1903,1,2147
1903,2,2304
1903,2,2328
1903,1,9124
1905,1,2308
1906,1,2308
1907,2,2069
1907,2,2303
1907,2,2304
1908,1,2034
1908,1,2192
1909,1,2034
1909,1,2192
1911,2,2069
1914,2,2147
1916,1,9148
