Month,Item ID,Item Descreption,# Units,Store Code,Store Name,Item Brand,$ Revenue,Lens Type,Company Name
30/9/2024,5065,Lensme Contact Lenses - La Bella -3.25,1,9120,RYD DM - Nokhba Center,Lensme,40,Power,Dr.M - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,4,2147,MAK MO - Makkah Mall,Lensme,160,Power,Magrabi - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,2,2181,RYD MO - Nakhil Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,2,2234,RYD MO - Wadi Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,2,2297,RYD MO - Granada Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,1,2302,JED MO - Red Sea Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,2,2309,RYD MO - Hamra Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,2,9112,RYD DM - Nakhil Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,5066,Lensme Contact Lenses - La Bella -3.5,1,9120,RYD DM - Nokhba Center,Lensme,40,Power,Dr.M - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,2,2049,RYD MO - Madinah Road,Lensme,80,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,2,2138,RYD MO - Panorama Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,1,2147,MAK MO - Makkah Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,2,2238,RYD MO - Jarir Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,2,2286,RYD MO - Riyadh Park Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,1,2304,MO - E.Commerce Saudi,Lensme,40,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,2,2312,RYD MO - 60th Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,5067,Lensme Contact Lenses - La Bella -3.75,2,2331,TIF MO - The Park Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5068,Lensme Contact Lenses - La Bella -4,2,2049,RYD MO - Madinah Road,Lensme,80,Power,Magrabi - KSA
30/9/2024,5068,Lensme Contact Lenses - La Bella -4,1,2303,JED MO - Magrabi Clinic Murjan,Lensme,40,Power,Magrabi - KSA
30/9/2024,5068,Lensme Contact Lenses - La Bella -4,2,2319,ASR MO - Magrabi Hospital,Lensme,80,Power,Magrabi - KSA
30/9/2024,5068,Lensme Contact Lenses - La Bella -4,2,2324,JED MO - Mooj Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,5068,Lensme Contact Lenses - La Bella -4,1,2334,MAK MO - Azizia Park,Lensme,40,Power,Magrabi - KSA
30/9/2024,5068,Lensme Contact Lenses - La Bella -4,1,2342,JED MO - Tahlia Street,Lensme,40,Power,Magrabi - KSA
30/9/2024,5069,Lensme Contact Lenses - La Bella -4.25,1,2138,RYD MO - Panorama Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5069,Lensme Contact Lenses - La Bella -4.25,2,2177,DMM MO - Faisaliyah Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,5070,Lensme Contact Lenses - La Bella -4.5,2,2138,RYD MO - Panorama Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5070,Lensme Contact Lenses - La Bella -4.5,1,2147,MAK MO - Makkah Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5070,Lensme Contact Lenses - La Bella -4.5,2,2294,RYD MO - Kingdom Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5070,Lensme Contact Lenses - La Bella -4.5,1,2303,JED MO - Magrabi Clinic Murjan,Lensme,40,Power,Magrabi - KSA
30/9/2024,5070,Lensme Contact Lenses - La Bella -4.5,1,2334,MAK MO - Azizia Park,Lensme,40,Power,Magrabi - KSA
30/9/2024,5071,Lensme Contact Lenses - La Bella -4.75,1,2147,MAK MO - Makkah Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5071,Lensme Contact Lenses - La Bella -4.75,1,2311,DMM MO - Rashed Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5072,Lensme Contact Lenses - La Bella -5,2,2302,JED MO - Red Sea Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5072,Lensme Contact Lenses - La Bella -5,2,2318,QSM MO - Imam Bukhari Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,5072,Lensme Contact Lenses - La Bella -5,1,9168,DMM DM - Magrabi Center Mouwasat,Lensme,40,Power,Dr.M - KSA
30/9/2024,5073,Lensme Contact Lenses - La Bella -5.25,1,9168,DMM DM - Magrabi Center Mouwasat,Lensme,40,Power,Dr.M - KSA
30/9/2024,5074,Lensme Contact Lenses - La Bella -5.5,2,2061,DMM MO - Cornich Boulevard,Lensme,80,Power,Magrabi - KSA
30/9/2024,5074,Lensme Contact Lenses - La Bella -5.5,1,2234,RYD MO - Wadi Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,5075,Lensme Contact Lenses - La Bella -5.75,2,2139,RYD MO - Magrabi Hospital,Lensme,80,Power,Magrabi - KSA
30/9/2024,5076,Lensme Contact Lenses - La Bella -6,2,2038,JED MO - Sari Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,5076,Lensme Contact Lenses - La Bella -6,2,2311,DMM MO - Rashed Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,5077,Lensme Contact Lenses - La Bella -6.5,1,2147,MAK MO - Makkah Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5077,Lensme Contact Lenses - La Bella -6.5,2,2192,RYD MO - Telal Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,5077,Lensme Contact Lenses - La Bella -6.5,1,2234,RYD MO - Wadi Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,5078,Lensme Contact Lenses - La Bella -7,1,2147,MAK MO - Makkah Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5078,Lensme Contact Lenses - La Bella -7,1,2311,DMM MO - Rashed Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,5080,Lensme Contact Lenses - La Bella -8,2,2308,TBK MO - Tabuk Park,Lensme,80,Power,Magrabi - KSA
30/9/2024,5081,Lensme Contact Lenses - La Bella -8.5,2,2181,RYD MO - Nakhil Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2300,Lensme Contact Lenses - Latte +0.5,2,2147,MAK MO - Makkah Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2301,Lensme Contact Lenses - Latte +1,1,2049,RYD MO - Madinah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,2,2052,RYD MO - Okbah bin Nafee Road,Lensme,80,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,1,2053,RYD MO - King Abdullah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,1,2123,MED MO - Noor Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,3,2147,MAK MO - Makkah Mall,Lensme,120,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,4,2303,JED MO - Magrabi Clinic Murjan,Lensme,160,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,1,2324,JED MO - Mooj Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,1,9101,RYD DM - Qasr Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2302,Lensme Contact Lenses - Latte +1.5,1,9106,AHS DM - Ahsa Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2303,Lensme Contact Lenses - Latte +2,4,2033,JED MO - Madinah Road,Lensme,160,Power,Magrabi - KSA
30/9/2024,2303,Lensme Contact Lenses - Latte +2,1,2053,RYD MO - King Abdullah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2303,Lensme Contact Lenses - Latte +2,3,2147,MAK MO - Makkah Mall,Lensme,120,Power,Magrabi - KSA
30/9/2024,2303,Lensme Contact Lenses - Latte +2,1,2297,RYD MO - Granada Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2303,Lensme Contact Lenses - Latte +2,1,2324,JED MO - Mooj Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2303,Lensme Contact Lenses - Latte +2,1,9101,RYD DM - Qasr Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2304,Lensme Contact Lenses - Latte +2.5,1,2297,RYD MO - Granada Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2304,Lensme Contact Lenses - Latte +2.5,2,9106,AHS DM - Ahsa Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,2304,Lensme Contact Lenses - Latte +2.5,1,9108,JED DM - Andalus Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2305,Lensme Contact Lenses - Latte +3,1,2123,MED MO - Noor Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2306,Lensme Contact Lenses - Latte +3.5,1,2049,RYD MO - Madinah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2306,Lensme Contact Lenses - Latte +3.5,2,2311,DMM MO - Rashed Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2306,Lensme Contact Lenses - Latte +3.5,1,9108,JED DM - Andalus Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2308,Lensme Contact Lenses - Latte +4.5,2,9108,JED DM - Andalus Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,2253,Lensme Contact Lenses - Latte -0.5,2,2138,RYD MO - Panorama Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2253,Lensme Contact Lenses - Latte -0.5,2,9119,DMM DM - Nakhil Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,2253,Lensme Contact Lenses - Latte -0.5,2,9157,JED DM - Mall of Arabia,Lensme,80,Power,Dr.M - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,2033,JED MO - Madinah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,2053,RYD MO - King Abdullah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,2,2069,QTF MO - Qouds Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,2123,MED MO - Noor Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,2234,RYD MO - Wadi Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,2247,YNB MO - Dana Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,2,2287,RYD MO - Magrabi Clinic Exit-14,Lensme,80,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,2,2297,RYD MO - Granada Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,2328,RYD MO - King Abdul Aziz,Lensme,40,Power,Magrabi - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,9106,AHS DM - Ahsa Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,1,9148,JED DM - Prince Sultan Street,Lensme,40,Power,Dr.M - KSA
30/9/2024,2254,Lensme Contact Lenses - Latte -0.75,2,9157,JED DM - Mall of Arabia,Lensme,80,Power,Dr.M - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,2,2027,TIF MO - Shehar Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2043,RYD MO - Olaya Street,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,2,2052,RYD MO - Okbah bin Nafee Road,Lensme,80,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2095,JED MO - Salama Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2123,MED MO - Noor Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2147,MAK MO - Makkah Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,2,2177,DMM MO - Faisaliyah Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2199,RYD MO - Nakhla Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2238,RYD MO - Jarir Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,3,2302,JED MO - Red Sea Mall,Lensme,120,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2308,TBK MO - Tabuk Park,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,2328,RYD MO - King Abdul Aziz,Lensme,40,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,4,2344,RYD MO - Laysen Valley Plaza,Lensme,160,Power,Magrabi - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,1,9121,RYD DM - Hayat Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2255,Lensme Contact Lenses - Latte -1,2,9157,JED DM - Mall of Arabia,Lensme,80,Power,Dr.M - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,2,2030,MED MO - Sultanah Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2033,JED MO - Madinah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2052,RYD MO - Okbah bin Nafee Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2095,JED MO - Salama Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2100,DMM MO - Dhahran Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,3,2147,MAK MO - Makkah Mall,Lensme,120,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2199,RYD MO - Nakhla Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2247,YNB MO - Dana Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,2,2302,JED MO - Red Sea Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,2336,TBK MO - Tabuk Boulevard,Lensme,40,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,2,2340,DMM MO - Magrabi Hospital,Lensme,80,Power,Magrabi - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,9124,DR.M - E.Commerce,Lensme,40,Power,Dr.M - KSA
30/9/2024,2256,Lensme Contact Lenses - Latte -1.25,1,9148,JED DM - Prince Sultan Street,Lensme,40,Power,Dr.M - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2049,RYD MO - Madinah Road,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2052,RYD MO - Okbah bin Nafee Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2061,DMM MO - Cornich Boulevard,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2095,JED MO - Salama Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2100,DMM MO - Dhahran Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2123,MED MO - Noor Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2138,RYD MO - Panorama Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2234,RYD MO - Wadi Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2238,RYD MO - Jarir Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2242,RYD MO - Khalid bin Walid Street,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2247,YNB MO - Dana Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2289,RYD MO - Riyadh Gallery,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2302,JED MO - Red Sea Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,4,2304,MO - E.Commerce Saudi,Lensme,160,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,4,2308,TBK MO - Tabuk Park,Lensme,160,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2309,RYD MO - Hamra Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2323,JED MO - The Village Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2328,RYD MO - King Abdul Aziz,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,2,2334,MAK MO - Azizia Park,Lensme,80,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,2336,TBK MO - Tabuk Boulevard,Lensme,40,Power,Magrabi - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,9124,DR.M - E.Commerce,Lensme,40,Power,Dr.M - KSA
30/9/2024,2257,Lensme Contact Lenses - Latte -1.5,1,9126,JED DM - Haifa Mall,Lensme,40,Power,Dr.M - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2030,MED MO - Sultanah Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2033,JED MO - Madinah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2053,RYD MO - King Abdullah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2069,QTF MO - Qouds Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2095,JED MO - Salama Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2100,DMM MO - Dhahran Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,4,2123,MED MO - Noor Mall,Lensme,160,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2138,RYD MO - Panorama Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2142,JBL MO - Jubail AM Road,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2242,RYD MO - Khalid bin Walid Street,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2297,RYD MO - Granada Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2298,DMM MO - Nakhil Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,2302,JED MO - Red Sea Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2304,MO - E.Commerce Saudi,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2306,MAK MO - Tassan Plaza,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2308,TBK MO - Tabuk Park,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2328,RYD MO - King Abdul Aziz,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2332,RYD MO - The View Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2334,MAK MO - Azizia Park,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,2336,TBK MO - Tabuk Boulevard,Lensme,80,Power,Magrabi - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,9106,AHS DM - Ahsa Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,1,9120,RYD DM - Nokhba Center,Lensme,40,Power,Dr.M - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,9121,RYD DM - Hayat Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,2258,Lensme Contact Lenses - Latte -1.75,2,9163,RYD DM - Hamra Mall,Lensme,80,Power,Dr.M - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,2,2027,TIF MO - Shehar Street,Lensme,80,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2033,JED MO - Madinah Road,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2038,JED MO - Sari Street,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2069,QTF MO - Qouds Street,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2100,DMM MO - Dhahran Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,2,2138,RYD MO - Panorama Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,2,2147,MAK MO - Makkah Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,2,2181,RYD MO - Nakhil Mall,Lensme,80,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2192,RYD MO - Telal Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2234,RYD MO - Wadi Plaza,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2298,DMM MO - Nakhil Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2302,JED MO - Red Sea Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,2,2308,TBK MO - Tabuk Park,Lensme,80,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2323,JED MO - The Village Mall,Lensme,40,Power,Magrabi - KSA
30/9/2024,2259,Lensme Contact Lenses - Latte -2,1,2331,TIF MO - The Park Mall,Lensme,40,Power,Magrabi - KSA
