Item,Location,Min Quantity,Max Quantity,no of unit per box,threshould
101011000006,Jeddah,220.00 ,241.00 ,1,50
101011000006,Riyadh,66.00 ,81.00 ,1,50
101011000008,Jeddah,214.00 ,288.00 ,1,50
101011000008,Riyadh,12.00 ,16.00 ,1,50
101011000009,Jeddah,10.00 ,13.00 ,1,50
101011000009,Riyadh,2.00 ,2.00 ,1,50
101011000011,Jeddah,36.00 ,44.00 ,1,50
101011000011,Riyadh,25.00 ,32.00 ,1,50
101011000013,Jeddah,25.00 ,34.00 ,1,50
101011000013,Riyadh,263.00 ,340.00 ,1,50
101011000019,Jeddah,"2,437.00 ","2,658.00 ",1,50
101011000019,Riyadh,31.00 ,37.00 ,1,50
101011000021,Jeddah,39.00 ,50.00 ,1,50
101011000021,Riyadh,136.00 ,166.00 ,1,50
101011000022,Jeddah,632.00 ,864.00 ,1,50
101011000022,Riyadh,"1,493.00 ","1,880.00 ",1,50
101011000023,Jeddah,76.00 ,112.00 ,1,50
101011000023,Riyadh,507.00 ,648.00 ,1,50
101011000024,Jeddah,10.00 ,14.00 ,1,50
101011000024,Riyadh,67.00 ,90.00 ,1,50
101011000027,Jeddah,358.00 ,486.00 ,1,50
101011000027,Riyadh,370.00 ,452.00 ,1,50
101011000028,Jeddah,10.00 ,12.00 ,1,50
101011000028,Riyadh,12.00 ,15.00 ,1,50
101011000032,Jeddah,26.00 ,33.00 ,1,50
101011000032,Riyadh,49.00 ,62.00 ,1,50
101011000035,Jeddah,489.00 ,636.00 ,1,50
101011000035,Riyadh,561.00 ,674.00 ,1,50
101011000039,Jeddah,14.00 ,18.00 ,1,50
101011000039,Riyadh,26.00 ,32.00 ,1,50
101011000040,Jeddah,17.00 ,23.00 ,1,50
101011000040,Riyadh,6.00 ,7.00 ,1,50
101011000041,Jeddah,8.00 ,10.00 ,1,50
101011000041,Riyadh,9.00 ,12.00 ,1,50
101011000044,Jeddah,44.00 ,61.00 ,1,50
101011000044,Riyadh,76.00 ,93.00 ,1,50
101011000048,Jeddah,57.00 ,77.00 ,1,50
101011000048,Riyadh,231.00 ,286.00 ,1,50
101011000050,Jeddah,4.00 ,5.00 ,1,50
101011000050,Riyadh,52.00 ,62.00 ,1,50
101011000053,Jeddah,38.00 ,51.00 ,1,50
101011000053,Riyadh,51.00 ,65.00 ,1,50
101011000055,Jeddah,421.00 ,534.00 ,1,50
101011000055,Riyadh,53.00 ,69.00 ,1,50
101011000056,Jeddah,123.00 ,172.00 ,1,50
101011000056,Riyadh,126.00 ,149.00 ,1,50
101011000057,Jeddah,30.00 ,42.00 ,1,50
101011000057,Riyadh,202.00 ,251.00 ,1,50
101011000058,Jeddah,104.00 ,132.00 ,1,50
101011000058,Riyadh,259.00 ,325.00 ,1,50
101011000059,Jeddah,32.00 ,43.00 ,1,50
101011000059,Riyadh,76.00 ,100.00 ,1,50
101011000061,Jeddah,36.00 ,48.00 ,1,50
101011000061,Riyadh,79.00 ,98.00 ,1,50
101011000063,Jeddah,1.00 ,1.00 ,1,50
101011000065,Jeddah,282.00 ,382.00 ,1,50
101011000065,Riyadh,184.00 ,241.00 ,1,50
101011000066,Jeddah,1.00 ,1.00 ,1,50
101011000066,Riyadh,20.00 ,24.00 ,1,50
101011000068,Jeddah,32.00 ,42.00 ,1,50
101011000068,Riyadh,126.00 ,152.00 ,1,50
101011000069,Jeddah,36.00 ,54.00 ,1,50
101011000069,Riyadh,216.00 ,293.00 ,1,50
101011000072,Jeddah,2.00 ,3.00 ,1,50
101011000072,Riyadh,89.00 ,118.00 ,1,50
101011000073,Jeddah,3.00 ,3.00 ,1,50
101011000073,Riyadh,3.00 ,4.00 ,1,50
101011000074,Jeddah,16.00 ,21.00 ,1,50
101011000074,Riyadh,85.00 ,107.00 ,1,50
101011000075,Jeddah,14.00 ,17.00 ,1,50
101011000075,Riyadh,88.00 ,116.00 ,1,50
101011000076,Jeddah,48.00 ,64.00 ,1,50
101011000076,Riyadh,130.00 ,166.00 ,1,50
101011000080,Jeddah,13.00 ,17.00 ,1,50
101011000080,Riyadh,161.00 ,198.00 ,1,50
101011000082,Jeddah,18.00 ,22.00 ,1,50
101011000082,Riyadh,37.00 ,47.00 ,1,50
101011000084,Jeddah,538.00 ,656.00 ,1,50
101011000084,Riyadh,268.00 ,333.00 ,1,50
101011000086,Jeddah,13.00 ,17.00 ,1,50
101011000086,Riyadh,70.00 ,89.00 ,1,50
101011000089,Jeddah,36.00 ,48.00 ,1,50
101011000089,Riyadh,77.00 ,97.00 ,1,50
101011000092,Jeddah,111.00 ,145.00 ,1,50
101011000092,Riyadh,342.00 ,455.00 ,1,50
101011000093,Jeddah,481.00 ,586.00 ,1,50
101011000093,Riyadh,392.00 ,499.00 ,1,50
101011000094,Jeddah,65.00 ,89.00 ,1,50
101011000094,Riyadh,134.00 ,164.00 ,1,50
101011000095,Jeddah,1.00 ,1.00 ,1,50
101011000097,Jeddah,321.00 ,454.00 ,1,50
101011000097,Riyadh,493.00 ,667.00 ,1,50
101011000099,Jeddah,223.00 ,300.00 ,1,50
101011000099,Riyadh,"1,017.00 ","1,243.00 ",1,50
101011000100,Jeddah,10.00 ,13.00 ,1,50
101011000100,Riyadh,83.00 ,112.00 ,1,50
101011000103,Jeddah,105.00 ,145.00 ,1,50
101011000103,Riyadh,269.00 ,326.00 ,1,50
101011000104,Jeddah,38.00 ,54.00 ,1,50
101011000104,Riyadh,85.00 ,103.00 ,1,50
101011000105,Jeddah,27.00 ,35.00 ,1,50
101011000105,Riyadh,58.00 ,73.00 ,1,50
101011000110,Jeddah,400.00 ,540.00 ,1,50
101011000110,Riyadh,"1,972.00 ","2,534.00 ",1,50
101011000114,Jeddah,14.00 ,17.00 ,1,50
101011000114,Riyadh,132.00 ,162.00 ,1,50
101011000116,Jeddah,18.00 ,26.00 ,1,50
101011000116,Riyadh,20.00 ,25.00 ,1,50
101011000117,Jeddah,40.00 ,52.00 ,1,50
101011000117,Riyadh,61.00 ,73.00 ,1,50
101011000119,Jeddah,140.00 ,187.00 ,1,50
101011000119,Riyadh,356.00 ,440.00 ,1,50
101011000124,Jeddah,258.00 ,368.00 ,1,50
101011000124,Riyadh,111.00 ,138.00 ,1,50
101011000125,Jeddah,16.00 ,22.00 ,1,50
101011000125,Riyadh,131.00 ,167.00 ,1,50
101011000127,Jeddah,13.00 ,18.00 ,1,50
101011000127,Riyadh,21.00 ,26.00 ,1,50
101011000128,Jeddah,20.00 ,28.00 ,1,50
101011000128,Riyadh,15.00 ,19.00 ,1,50
101011000130,Jeddah,123.00 ,157.00 ,1,50
101011000130,Riyadh,129.00 ,161.00 ,1,50
101011000131,Jeddah,16.00 ,21.00 ,1,50
101011000131,Riyadh,77.00 ,103.00 ,1,50
101011000132,Jeddah,2.00 ,2.00 ,1,50
101011000136,Jeddah,131.00 ,171.00 ,1,50
101011000136,Riyadh,139.00 ,171.00 ,1,50
101011000137,Jeddah,11.00 ,15.00 ,1,50
101011000137,Riyadh,31.00 ,40.00 ,1,50
101011000138,Jeddah,"1,076.00 ","1,145.00 ",1,50
101011000138,Riyadh,66.00 ,79.00 ,1,50
101011000140,Jeddah,277.00 ,376.00 ,1,50
101011000140,Riyadh,916.00 ,"1,151.00 ",1,50
101011000141,Jeddah,8.00 ,11.00 ,1,50
101011000141,Riyadh,38.00 ,48.00 ,1,50
101011000142,Jeddah,12.00 ,15.00 ,1,50
101011000142,Riyadh,45.00 ,54.00 ,1,50
101011000145,Jeddah,759.00 ,974.00 ,1,50
101011000145,Riyadh,950.00 ,"1,233.00 ",1,50
101011000151,Jeddah,120.00 ,171.00 ,1,50
101011000151,Riyadh,49.00 ,59.00 ,1,50
101011000152,Jeddah,1.00 ,2.00 ,1,50
101011000154,Jeddah,1.00 ,1.00 ,1,50
101011000156,Jeddah,22.00 ,33.00 ,1,50
101011000156,Riyadh,60.00 ,72.00 ,1,50
101011000160,Jeddah,36.00 ,45.00 ,1,50
101011000160,Riyadh,42.00 ,56.00 ,1,50
101011000161,Jeddah,50.00 ,69.00 ,1,50
101011000161,Riyadh,87.00 ,110.00 ,1,50
101011000162,Jeddah,139.00 ,180.00 ,1,50
101011000162,Riyadh,113.00 ,139.00 ,1,50
101011000163,Jeddah,133.00 ,175.00 ,1,50
101011000163,Riyadh,132.00 ,166.00 ,1,50
101011000166,Jeddah,216.00 ,270.00 ,1,50
101011000166,Riyadh,135.00 ,166.00 ,1,50
101011000167,Jeddah,239.00 ,310.00 ,1,50
101011000167,Riyadh,387.00 ,481.00 ,1,50
101011000170,Jeddah,93.00 ,132.00 ,1,50
101011000170,Riyadh,"1,197.00 ","1,461.00 ",1,50
101011000173,Jeddah,14.00 ,19.00 ,1,50
101011000173,Riyadh,712.00 ,925.00 ,1,50
101011000177,Jeddah,86.00 ,129.00 ,1,50
101011000177,Riyadh,"1,121.00 ","1,355.00 ",1,50
101011000178,Jeddah,116.00 ,147.00 ,1,50
101011000178,Riyadh,122.00 ,161.00 ,1,50
101011000179,Jeddah,6.00 ,8.00 ,1,50
101011000179,Riyadh,5.00 ,7.00 ,1,50
101011000180,Jeddah,"1,082.00 ","1,427.00 ",1,50
101011000180,Riyadh,"1,081.00 ","1,295.00 ",1,50
101011000181,Jeddah,3.00 ,4.00 ,1,50
101011000181,Riyadh,43.00 ,53.00 ,1,50
101011000182,Jeddah,46.00 ,71.00 ,1,50
101011000182,Riyadh,315.00 ,390.00 ,1,50
101011000184,Jeddah,43.00 ,59.00 ,1,50
101011000184,Riyadh,940.00 ,"1,162.00 ",1,50
101011000189,Jeddah,31.00 ,39.00 ,1,50
101011000189,Riyadh,540.00 ,680.00 ,1,50
101011000190,Jeddah,41.00 ,53.00 ,1,50
101011000190,Riyadh,36.00 ,44.00 ,1,50
101011000196,Jeddah,46.00 ,61.00 ,1,50
101011000196,Riyadh,238.00 ,319.00 ,1,50
101011000198,Jeddah,14.00 ,21.00 ,1,50
101011000198,Riyadh,62.00 ,74.00 ,1,50
101011000206,Jeddah,92.00 ,125.00 ,1,50
101011000206,Riyadh,71.00 ,91.00 ,1,50
101011000207,Jeddah,54.00 ,69.00 ,1,50
101011000207,Riyadh,18.00 ,22.00 ,1,50
101011000209,Jeddah,2.00 ,2.00 ,1,50
101011000210,Jeddah,191.00 ,240.00 ,1,50
101011000210,Riyadh,231.00 ,296.00 ,1,50
101011000212,Jeddah,97.00 ,125.00 ,1,50
101011000212,Riyadh,474.00 ,579.00 ,1,50
101011000219,Jeddah,447.00 ,613.00 ,1,50
101011000219,Riyadh,984.00 ,"1,202.00 ",1,50
101011000229,Jeddah,2.00 ,3.00 ,1,50
101011000230,Jeddah,2.00 ,4.00 ,1,50
101011000231,Jeddah,108.00 ,141.00 ,1,50
101011000231,Riyadh,268.00 ,324.00 ,1,50
101011000234,Jeddah,35.00 ,50.00 ,1,50
101011000234,Riyadh,130.00 ,156.00 ,1,50
101011000235,Jeddah,202.00 ,281.00 ,1,50
101011000235,Riyadh,540.00 ,659.00 ,1,50
101011000241,Jeddah,10.00 ,14.00 ,1,50
101011000241,Riyadh,67.00 ,87.00 ,1,50
101011000247,Jeddah,184.00 ,232.00 ,1,50
101011000247,Riyadh,290.00 ,350.00 ,1,50
101011000249,Jeddah,215.00 ,281.00 ,1,50
101011000249,Riyadh,"1,002.00 ","1,258.00 ",1,50
101011000250,Jeddah,15.00 ,22.00 ,1,50
101011000250,Riyadh,154.00 ,192.00 ,1,50
101011000252,Jeddah,41.00 ,55.00 ,1,50
101011000252,Riyadh,160.00 ,204.00 ,1,50
101011000260,Jeddah,339.00 ,474.00 ,1,50
101011000260,Riyadh,642.00 ,794.00 ,1,50
101011000263,Jeddah,1.00 ,1.00 ,1,50
101011000267,Jeddah,858.00 ,"1,166.00 ",1,50
101011000267,Riyadh,"1,805.00 ","2,211.00 ",1,50
101011000268,Jeddah,110.00 ,153.00 ,1,50
101011000268,Riyadh,169.00 ,219.00 ,1,50
101011000273,Jeddah,20.00 ,25.00 ,1,50
101011000273,Riyadh,20.00 ,25.00 ,1,50
101011000279,Jeddah,23.00 ,29.00 ,1,50
